URL,Label
https://sujan010.github.io/amazon-clone1,bad
https://tokenpocket-dapp.pages.dev/,bad
https://kuuicon_loggix.godaddysites.com/,bad
https://www.pontos.icliente-30hs.app/cadastro.php?codigo=lwOXWyBPPuWGjS9iGZ2AXzEeeKB,bad
http://danacs12.pages.dev/,bad
https://suhangrover.github.io/phishing-insta,bad
https://storage.me-qr.com/html/a7779a1f-4329-48ae-926d-878c82f106a4.html,bad
https://vintedfi.6537557257.live/payment/265262385,bad
https://jgghuemanileigon.godaddysites.com/,bad
https://booking.com.s1.prop223875.homes/property-a-Platonos-31-Thessaloniki-Greece-ssid-s4l2Vx9DIoTAyPon8Yk59VVwl632d4.booking,bad
http://www.shorten.world/@metabusinesssupportplatform_page2025/,bad
https://projectmanagerblueprint.com/,bad
https://geeminizzl_ogin.godaddysites.com/,bad
https://metmax_usa_loggi.godaddysites.com/,bad
http://z1r00t-be3nkr.com/,bad
https://geminilogine.weebly.com/,bad
https://metamusskinloggini1.godaddysites.com/,bad
http://juno-5434533.weebly.com/,bad
http://freeattspage.square.site/,bad
https://queunanesoinou-2487.vercel.app/kty.ekpjy/,bad
http://lgbvpjwsqk.duckdns.org/en/,bad
http://you1.knowitall.wiki/,bad
http://daili.dsyl.xyz/,bad
http://telargam.wang/,bad
https://steamesconmmunity.com/10534920951,bad
https://ziraet.sbs/,bad
https://zireet.sbs/,bad
https://auhmn.sbs/,bad
https://www.15-subat-ramazan-indirim-zamani.duckdns.org/,bad
http://universegloballinethreat.weebly.com/,bad
https://addisfriend.com/?p/fvrv-ddeqwv/cqmdnpmv,bad
https://ilalp.top/,bad
https://dddjsjs.weebly.com/,bad
http://aidattiade-turkiye.duckdns.org/,bad
https://att-103512-adeyemi.square.site/,bad
http://hzojrblwef.shop/,bad
https://metyuimasklogin-usa.godaddysites.com/,bad
https://meetaamaskloginz.godaddysites.com/,bad
https://www.ohiojcl.org/,bad
https://app.mainnet-dbk.com/,bad
https://www.fiberoptic-device.com/,bad
https://vansh1311.github.io/Netflix-project,bad
https://fastbenefit.cfd/,bad
https://bgtfr.weebly.com/,bad
https://stenmcommunity.com/gift/id=7465904,bad
https://stemcommmuntly.com/glft/7651464628003541,bad
http://login_coinbasepr0.godaddysites.com/,bad
https://pub-64c50f4a8f394c30b74ed1ac01710af3.r2.dev/index.html,bad
https://telegnram.mom/,bad
https://outlook.schule-goldbach.de/_xgbvgxfegwtborc_form?Lw==/,bad
https://tradeforuminvest.top/,bad
https://1.t18060138696-9b9.workers.dev/,bad
https://www57365.cc/,bad
https://fr.shopping.rakuten-paiments.com/cart/UT4aVoeSF3Rxx72QtMvJMk/,bad
